ein,Org Name,label,clean,token
431660945,WOMEN IN CHARGE,0,women charge,women charg
561762001,BOY SCOUTS OF AMERICA 70 OLD NORTH STATE COUNCIL,0,boy scouts america old north state council,boy scout america old north state council
391828141,WISCONSIN EDUCATION ASSOCIATION PROFESSIONAL DEVELOPMENT ACADEMY I,0,wisconsin education association professional development academy,wisconsin educ associ profession develop academi
272061765,DESIRE OF ALL NATIONS MINISTRIES INC,0,desire nations ministries inc,desir nation ministri inc
237068846,TEXAS INSTITUTE OF LETTERS,0,texas institute letters,texa institut letter
363338378,PEACEMAKERS INTERNATIONAL,0,peacemakers international,peacemak intern
274517607,HUNT FOUNDATION INC,0,hunt foundation inc,hunt foundat inc
236412245,CATHARINE A HARRISON FUND,0,catharine harrison fund,catharin harrison fund
237044554,GOLDEN LOTUS INC,0,golden lotus inc,golden lotu inc
160965912,FINGER LAKES UNITED CEREBRAL PALSY INC,0,finger lakes united cerebral palsy inc,finger lake unit cerebr palsi inc
542042460,UNITED COMMUNITY OF MUSLIMS,0,united community muslims,unit commun muslim
263277422,WELLSPRING SECOND CHANCE CENTER,0,wellspring second chance center,wellspr second chanc center
954450085,CASA EDITHA FOUNDATION INC AVA LYNS GROUP HOMES,0,casa editha foundation inc ava lyns group homes,casa editha foundat inc ava lyn group home
273357934,SIONNACH CLUB INC,0,sionnach club inc,sionnach club inc
273102940,HERALD EDUCATION INC,0,herald education inc,herald educ inc
461567192,FRIENDS OF THE LYRIC,0,friends lyric,friend lyric
330605054,KIRKWOOD ASSISTED LIVING RESIDENCE ORANGE,0,kirkwood assisted living residence orange,kirkwood assist live resid orang
237035456,PTA NEW YORK CONGRESS 10 416 OLD BETHPAGE PTA,0,pta new york congress old bethpage pta,pta new york congress old bethpag pta
461174744,A WALK ON WATER INC,0,walk water inc,walk water inc
373963621,MIKE SILVA EVANGELISM INC,0,mike silva evangelism inc,mike silva evangel inc
166053263,FRIENDS OF THE LIBRARY S S C,0,friends library c,friend librari c
208745552,AMERICAN YOUTH FOOTBALL INC CHESTER MENDHAM TWIN BORO FOOTBALL,0,american youth football inc chester mendham twin boro football,american youth footbal inc chester mendham twin boro footbal
237382647,FRANKLIN AND NORTHMORELAND TOWNSHIPS AMBULANCE ASSOCIATION,0,franklin northmoreland townships ambulance association,franklin northmoreland township ambul associ
205608891,FLUSHING CHRISTIAN OUTREACH CENTER,0,flushing christian outreach center,flush christian outreach center
396027058,SERVICE CLUB OF MILWAUKEE INC,0,service club milwaukee inc,servic club milwauke inc
262825368,UHF SUPPORT INC,0,uhf support inc,uhf support inc
200003801,HOUSTON GROUP HOME CORP,0,houston group home corp,houston group home corp
753070648,THEATER NINJAS INC,0,theater ninjas inc,theater ninja inc
273304136,SOMERSET COMMUNITY PARK ASSOCIATION,0,somerset community park association,somerset commun park associ
910776981,TACOMA SEAFARERS CENTER,0,tacoma seafarers center,tacoma seafar center
42688635,VALLEY WOMENS MARTIAL ARTS INC,0,valley womens martial arts inc,valley women martial art inc
593647313,ENGLEWOOD ANIMAL RESCUES ENGLEWOOD ANIMAL RESCUES SANCTUARY,0,englewood animal rescues englewood animal rescues sanctuary,englewood anim rescu englewood anim rescu sanctuari
942152888,BETHEL GARDENS INC HAM LANE APTS,0,bethel gardens inc ham lane apts,bethel garden inc ham lane apt
362958324,AMERICAN ASSOCIATION OF NEUROSURGEONS INC,0,american association neurosurgeons inc,american associ neurosurgeon inc
752199472,PREGNANCY RESOURCES AND MEDICAL CLINIC OF NORTH TEXAS INC,0,pregnancy resources medical clinic north texas inc,pregnanc resourc medic clinic north texa inc
460398244,DEUEL COUNTY MEMORIAL HOSPITAL,0,deuel county memorial hospital,deuel counti memori hospit
271463428,WORKS FOR VEGAS,0,works vegas,work vega
521467733,CHESTERTOWN ARTS LEAGUE INC,0,chestertown arts league inc,chestertown art leagu inc
251422887,MON VALLEY UNEMPLOYED COMMITTEE INC,0,mon valley unemployed committee inc,mon valley unemploy committe inc
271000051,GUARDIANSHIP SERVICES OF SOUTHWESTERN INDIANA INC,0,guardianship services southwestern indiana inc,guardianship servic southwestern indiana inc
611687799,ELGIN YOUTH SOCCER ASSOCIATION,0,elgin youth soccer association,elgin youth soccer associ
680429884,LOOMIS BASIN DOLPHINS INC,0,loomis basin dolphins inc,loomi basin dolphin inc
582096793,LEMOYNE-OWEN COLLEGE COMMUNITY,0,lemoyne owen college community,lemoyn owen colleg commun
550854759,WELLBRIETY FOR PRISONS INC,0,wellbriety prisons inc,wellbrieti prison inc
760251562,DISPUTE RESOLUTION CENTER OF MONTGOMERY COUNTY INC,0,dispute resolution center montgomery county inc,disput resolut center montgomeri counti inc
463776286,KAIROS PUBLIC SCHOOL VACAVILLE ACADEMY,0,kairos public school vacaville academy,kairo public school vacavil academi
951661099,OJAI VALLEY SCHOOL,0,ojai valley school,ojai valley school
371589825,HOLY SPIRIT CONFERENCE,0,holy spirit conference,holi spirit confer
237381113,SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS MARTINSVILLE,0,society prevention cruelty animals martinsville,societi prevent cruelti anim martinsvil
752918808,TRANSLIGHT MISSION,0,translight mission,translight mission
582526255,THE GREAT GEORGIA AIRSHOW INC,0,great georgia airshow inc,great georgia airshow inc
473788131,FOR A BRIGHTER TOMORROW,0,brighter tomorrow,brighter tomorrow
464568958,HIGH GROUND INSTITUTE INC,0,high ground institute inc,high ground institut inc
462076697,SERVE WITH LOVE TODAY INC,0,serve love today inc,serv love today inc
352112461,FRIENDS OF CRAFT INC,0,friends craft inc,friend craft inc
581742628,CENTER FOR LIVING AND LEARNING INC CLLN INC,0,center living learning inc clln inc,center live learn inc clln inc
264417749,FR JOHN HARDON S J ARCHIVE AND GUILD,0,fr john hardon j archive guild,fr john hardon j archiv guild
382589154,PROJECT HOPE INC,0,project hope inc,project hope inc
581969611,GRAND SLAM CLUB NORTH AMERICAN SHEEP HUNTERS ASSOCIATION,0,grand slam club north american sheep hunters association,grand slam club north american sheep hunter associ
870506755,FAMILY SUMMIT FOUNDATION,0,family summit foundation,famili summit foundat
260726790,VIRGINIA INTERSCHOLASTIC ATHLETICADMINISTRATORS ASSOCIATION VIAAA,0,virginia interscholastic athleticadministrators association viaaa,virginia interscholast athleticadministr associ viaaa
461959395,GRACE CLASSICAL CHRISTIAN ACADEMY,0,grace classical christian academy,grace classic christian academi
760378681,ANGLETON HIGH SCHOOL PROJECT GRADUATION,0,angleton high school project graduation,angleton high school project graduat
455551029,LOVE NEVER FAILS,0,love never fails,love never fail
341871057,INTERNATIONAL BOXING CLUB INC,0,international boxing club inc,intern box club inc
846044833,UNIVERSITY OF NORTHERN COLORADO FOUNDATION INC,0,university northern colorado foundation inc,univers northern colorado foundat inc
274625251,EMERGING INDUSTRIES TRAINING INSTITUTE INC,0,emerging industries training institute inc,emerg industri train institut inc
42767448,CAPE COD SPORTS AMBASSADORS INC,0,cape cod sports ambassadors inc,cape cod sport ambassador inc
208072285,ST ANNES HELPERS FOR LIFE INC,0,st annes helpers life inc,st ann helper life inc
956111901,LITTLE LEAGUE BASEBALL INC 4054010 WOODLAND HILLS SUNRISE LL,0,little league baseball inc woodland hills sunrise,littl leagu basebal inc woodland hill sunris
650908962,BOYNTON BEACH FIREFIGHTER BENEVOLENT ASSOC INC,0,boynton beach firefighter benevolent assoc inc,boynton beach firefight benevol assoc inc
205404217,BATTERSEA FOUNDATION,0,battersea foundation,battersea foundat
356004948,THE AMERICAN ASSN OF TEACHERS OF SPANISH AND PORTUGUESE INC AATSP,0,american assn teachers spanish portuguese inc aatsp,american assn teacher spanish portugues inc aatsp
237181732,LITTLE BEAVER HISTORICAL SOCIETY,0,little beaver historical society,littl beaver histor societi
942330864,LA CASA DE LAS MADRES,0,la casa de las madres,la casa de la madr
371140721,JOHNSTON CITY JR BASEBALL LEAGUE,0,johnston city jr baseball league,johnston citi jr basebal leagu
10597551,CRADDOCK CENTER INC,0,craddock center inc,craddock center inc
742951658,SAN ANTONIO ALTERNATIVE HOUSING CORPORATION NO 15,0,san antonio alternative housing corporation,san antonio altern hous corpor
911893510,OMICRON CHAPTER OF BETA PHI MU,0,omicron chapter beta phi mu,omicron chapter beta phi mu
870699966,ANDREWS VALLEY INITIATIVE,0,andrews valley initiative,andrew valley initi
363139750,INTERNATIONAL INTERIOR DESIGN ASSOCIATION FOUNDATION,0,international interior design association foundation,intern interior design associ foundat
850484103,OUR LADY OF LAS PALOMAS HERMITAGE,0,lady las palomas hermitage,ladi la paloma hermitag
223828817,BEDMINSTER TOWNSHIP PARENT TEACHER ORGANIZATION,0,bedminster township parent teacher organization,bedminst township parent teacher organ
363674182,ANACONDA MINISTERIAL PROJECT CARE,0,anaconda ministerial project care,anaconda ministeri project care
161450726,GENESEE COUNCIL ON ALCOHOLISM AND SUBSTANCE ABUSE FOUNDATION INC,0,genesee council alcoholism substance abuse foundation inc,genese council alcohol substanc abus foundat inc
201992244,SPAY BATON ROUGE,0,spay baton rouge,spay baton roug
465328798,SPANISH UNITED PENTECOSTAL CHURCH,0,spanish united pentecostal church,spanish unit pentecost church
630436456,YOUNG MENS CHRISTIAN ASSOCIATION OF THE COOSA VALLEY INC,0,young mens christian association coosa valley inc,young men christian associ coosa valley inc
300059497,GATEWAY REGIONAL MEDICAL CENTER AUXILIARY INC,0,gateway regional medical center auxiliary inc,gateway region medic center auxiliari inc
161314862,INTERNATIONAL THOMAS MERTON SOCIETY INC BELLARMINE COLLEGE,0,international thomas merton society inc bellarmine college,intern thoma merton societi inc bellarmin colleg
260724304,MILWAUKEE INSTITUTE INC,0,milwaukee institute inc,milwauke institut inc
820360653,PIONEER MONTESSORI SCHOOL,0,pioneer montessori school,pioneer montessori school
943312181,ZERODIVIDE,0,zerodivide,zerodivid
800477705,UNIVERSAL EVANGELICAL CHURCH USA,0,universal evangelical church usa,univers evangel church usa
340826169,UNITY CHAPEL OF LIGHT,0,unity chapel light,uniti chapel light
421293451,ANIMAL BIRTH CONTROL INC,0,animal birth control inc,anim birth control inc
452512182,INTERNATIONAL OUTREACH SERVICES,0,international outreach services,intern outreach servic
237272448,PORT ARTHUR HIGHER EDUCATION FOUNDATION INC PHARES BANKER TTEE,0,port arthur higher education foundation inc phares banker ttee,port arthur higher educ foundat inc phare banker ttee
680493308,ALTERNATIVE TRANSPORTATION FOR CHICAGOLAND INC I GO,0,alternative transportation chicagoland inc go,altern transport chicagoland inc go
870798025,WEYAUWEGA ARTS ORGANIZATION INC,0,weyauwega arts organization inc,weyauwega art organ inc
460549960,LENDING HEART COMMUNITY RESOURCES,0,lending heart community resources,lend heart commun resourc
222571372,HARMONY INC HARMONY FALLS,0,harmony inc harmony falls,harmoni inc harmoni fall
462583582,SAVING GRACE CHARITIES INC,0,saving grace charities inc,save grace chariti inc
221923766,FISH INC DUNELLEN AREA,0,fish inc dunellen area,fish inc dunellen area
383906927,PROVISO PUBLIC PARTNERSHIP,0,proviso public partnership,proviso public partnership
261581358,COMMUNITIES IN SCHOOLS OF SPOKANE COUNTY,0,communities schools spokane county,commun school spokan counti
237390034,CARROLL AREA TRANSIT SYSTEM INC,0,carroll area transit system inc,carrol area transit system inc
582092302,COMMUNITY CARE COUNCIL INC,0,community care council inc,commun care council inc
330718663,ACACIAWOOD SCHOOL COFFEE NEST,0,acaciawood school coffee nest,acaciawood school coffe nest
311390425,GRANVILLE EDUCATION FOUNDATION,0,granville education foundation,granvil educ foundat
251373306,SCOTLAND COMMUNITY ASSOCIATION INC,0,scotland community association inc,scotland commun associ inc
273995339,MAGNOLIA BASEBALL ASSOCIATION,0,magnolia baseball association,magnolia basebal associ
751812814,RAYS OF HOPE INC,0,rays hope inc,ray hope inc
61384466,BRASS CENTER LTD B C L,0,brass center ltd b c l,brass center ltd b c l
263865027,SIDDHAKALA BHAJAN MANDAL NEW JERSEY SHAKHA,0,siddhakala bhajan mandal new jersey shakha,siddhakala bhajan mandal new jersey shakha
731357030,LOVE STATION INC,0,love station inc,love station inc
640730846,CARE CONSISTENCY FOUNDATION INC,0,care consistency foundation inc,care consist foundat inc
591967932,JEWISH FEDERATION HOUSING II INC,0,jewish federation housing ii inc,jewish feder hous ii inc
616030993,SOUTHERN HISTORICAL ASSOCIATION,0,southern historical association,southern histor associ
311477579,LAUREL HIGHLANDS ACADEMIC FOUNDATION,0,laurel highlands academic foundation,laurel highland academ foundat
593699067,INASMUCH ASSISTANT LIVING FACILITY INC,0,inasmuch assistant living facility inc,inasmuch assist live facil inc
956204089,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,0,pta california congress parents teachers students inc,pta california congress parent teacher student inc
582046904,GEORGIA ARCHIVES INSTITUTE INC,0,georgia archives institute inc,georgia archiv institut inc
61775531,INTERNATIONAL CLASSICAL CONCERTS OF THE DESERT,0,international classical concerts desert,intern classic concert desert
593219223,SICKLE CELL DISEASE ASSOC OF UPPER PINELLAS PASCO HERNANDO COUNTIES I,0,sickle cell disease assoc upper pinellas pasco hernando counties,sickl cell diseas assoc upper pinella pasco hernando counti
561343446,SURRY YADKIN RESIDENTIAL SERVICES,0,surry yadkin residential services,surri yadkin residenti servic
421337556,STONEHILL BENEVOLENT FOUNDATION,0,stonehill benevolent foundation,stonehil benevol foundat
260618109,ARTISTS UNLIMITED INC,0,artists unlimited inc,artist unlimit inc
870813060,KAUAI COMMUNITY HEALTH ALLIANCE HALE LEA MEDICAL CLINIC,0,kauai community health alliance hale lea medical clinic,kauai commun health allianc hale lea medic clinic
550520303,FMRS HEALTH SYSTEMS INC,0,fmrs health systems inc,fmr health system inc
731427790,THURMAN J CURTSINGER CHARITABLE TR,0,thurman j curtsinger charitable tr,thurman j curtsing charit tr
841323288,TEAM KIWI INC TEAM KIWI,0,team kiwi inc team kiwi,team kiwi inc team kiwi
237013095,SOCIETY FOR CALIFORNIA ARCHAEOLOGY,0,society california archaeology,societi california archaeolog
204576866,GO MALAWI,0,go malawi,go malawi
330672558,ANAHEIM PUBLIC LIBRARY FOUNDATION A CALIFORNIA NON PROFIT CORPORATION,0,anaheim public library foundation california non profit corporation,anaheim public librari foundat california non profit corpor
381959395,CHARLOTTE FRONTIER DAYS INC,0,charlotte frontier days inc,charlott frontier day inc
454972366,WEST VIRGINIA CORRECTIONS TRAINING FOUNDATION,0,west virginia corrections training foundation,west virginia correct train foundat
453138991,ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH SCHOOL,0,alliance renee meyer luskin academy high school,allianc rene meyer luskin academi high school
510205028,MORRISVILLE COLLEGE FOUNDATION INC,0,morrisville college foundation inc,morrisvil colleg foundat inc
912049396,CRIMINON INTERNATIONAL,0,criminon international,criminon intern
311784729,BLUE HORSE CHARITIES INC,0,blue horse charities inc,blue hors chariti inc
134217926,DOTAVE COMMUNITY SERVICE CENTER INC,0,dotave community service center inc,dotav commun servic center inc
480963313,KANSAS FOUNDATION FOR AGRICULTURE IN THE CLASSROOM,0,kansas foundation agriculture classroom,kansa foundat agricultur classroom
10368190,SKATING ASSOCIATION OF MAINE,0,skating association maine,skate associ main
300468458,THE TREY CURRY FOUNDATION INC CLIFTON C CURRY JR,0,trey curry foundation inc clifton c curry jr,trey curri foundat inc clifton c curri jr
223137131,MATAWAN ABERDEEN BASEBALL LEAGUE,0,matawan aberdeen baseball league,matawan aberdeen basebal leagu
650770374,FRIENDS OF LOVERS KEY INC,0,friends lovers key inc,friend lover key inc
900100601,HISPANIC CHAMBER OF COMMERCE OF ORANGE COUNTY EDUCATION FOUNDATION,0,hispanic chamber commerce orange county education foundation,hispan chamber commerc orang counti educ foundat
570852471,WORLDWIDE TENTMAKERS INC,0,worldwide tentmakers inc,worldwid tentmak inc
611032427,PTA KENTUCKY CONGRESS GOSHEN ELEM PTA,0,pta kentucky congress goshen elem pta,pta kentucki congress goshen elem pta
386096460,TRI COUNTY BUSING INC,0,tri county busing inc,tri counti buse inc
562111915,LOUISBURG RESCUE AND EMERGENCY MEDICAL SERVICE INC,0,louisburg rescue emergency medical service inc,louisburg rescu emerg medic servic inc
480803013,SUNRISE INC,0,sunrise inc,sunris inc
526841579,CONGERGATION KNESETH ISRAEL ENDOWMENT TR HYATT ALAN TTEE,0,congergation kneseth israel endowment tr hyatt alan ttee,congerg kneseth israel endow tr hyatt alan ttee
911073353,NORTHWEST SCHOOL FOR HEARING IMPAIRED CHILDREN NORTHWEST SCHOOL OF DEAF AND HARD O,0,northwest school hearing impaired children northwest school deaf hard,northwest school hear impair children northwest school deaf hard
510067533,LAUREL DISTRICT LIBRARY COMM UA,0,laurel district library comm ua,laurel district librari comm ua
942788122,PACIFIC WATER POLO INC,0,pacific water polo inc,pacif water polo inc
460938884,FRESH START TATTOO REMOVAL PROGRAM INC,0,fresh start tattoo removal program inc,fresh start tattoo remov program inc
455337155,EAST LONG POND APARTMENTS INC,0,east long pond apartments inc,east long pond apart inc
261893185,PANAMERICAN CARIBBEAN BOXING ORGANIZATION OF NEWARK,0,panamerican caribbean boxing organization newark,panamerican caribbean box organ newark
10651559,CLARENDON HILLS PARK FOUNDATION,0,clarendon hills park foundation,clarendon hill park foundat
237439812,OGDEN COMMUNITY SCHOLARSHIP FOUNDATION,0,ogden community scholarship foundation,ogden commun scholarship foundat
680486987,THRESHOLD HOME CARE,0,threshold home care,threshold home care
541027650,THE NORFOLK SISTER CITYASSOCIATION INC,0,norfolk sister cityassociation inc,norfolk sister cityassoci inc
223427626,STAFFORD GIRLS SOFTBALL ASSOCIATION INC,0,stafford girls softball association inc,stafford girl softbal associ inc
310958968,CONVIVIAL LEARNING INC THE ANTIOCH SCHOOL,0,convivial learning inc antioch school,convivi learn inc antioch school
810564580,FAMILIES FOR YOUTH SPORTS AND ACTIVITIES,0,families youth sports activities,famili youth sport activ
316191108,WELSH AMERICAN HERITAGE MUSEUM INC FOUNDATION 021066,0,welsh american heritage museum inc foundation,welsh american heritag museum inc foundat
391656021,SEVENTHWAVE INC,0,seventhwave inc,seventhwav inc
461129920,PENNSYLVANIA SYMPHONIC WINDS,0,pennsylvania symphonic winds,pennsylvania symphon wind
860904022,LINKAGES INC,0,linkages inc,linkag inc
311703131,YVON CORMIER CHARITABLE FOUNDATION INC,0,yvon cormier charitable foundation inc,yvon cormier charit foundat inc
462648854,COMMUNITY TOOLBOX INC,0,community toolbox inc,commun toolbox inc
363933908,DAYSPRING VILLA INC,0,dayspring villa inc,dayspr villa inc
113520557,OBAZU NATIONAL COUNCIL U S A INCORPORATED,0,obazu national council u incorporated,obazu nation council u incorpor
42910555,CAMBRIDGE PUBLIC ACCESS CORPORATION INC,0,cambridge public access corporation inc,cambridg public access corpor inc
160927906,TOWN AND COUNTRY FIRE DEPARTMENT INC,0,town country fire department inc,town countri fire depart inc
453851934,PHILADELPHIA CATHOLIC LEAGUE ALUMNI CORPS,0,philadelphia catholic league alumni corps,philadelphia cathol leagu alumni corp
593743298,LITTLE LEAGUE BASEBALL INC 0076336 WEST HERNANDO LL,0,little league baseball inc west hernando,littl leagu basebal inc west hernando
571224669,GLOUCESTER EDUCATION FOUNDATION,0,gloucester education foundation,gloucest educ foundat
742895794,BUCCANEER ALUMNI LETTERMEN ASSOCIATION INC,0,buccaneer alumni lettermen association inc,buccan alumni lettermen associ inc
521124140,PTA MARYLAND CONGRESS OF PARENT AND TEACHERS INC FALLSMEAD ELEMENTARY SCHOOL PTA,0,pta maryland congress parent teachers inc fallsmead elementary school pta,pta maryland congress parent teacher inc fallsmead elementari school pta
113532857,CBA CULTURE AND ARTS CENTER INC,0,cba culture arts center inc,cba cultur art center inc
611496188,ELLSWORTH FFA ALUMNI,0,ellsworth ffa alumni,ellsworth ffa alumni
43479606,MERRIMACK VALLEY ECONOMIC DEVELOPMENT COUNCIL INC,0,merrimack valley economic development council inc,merrimack valley econom develop council inc
561905276,NORTHWESTERN ROCKINGHAM COMMUNITY MINISTRY INC HANDS OF GOD,0,northwestern rockingham community ministry inc hands god,northwestern rockingham commun ministri inc hand god
411875108,PIERCE ARROW FOUNDATION,0,pierce arrow foundation,pierc arrow foundat
471821432,MILFORD LACROSSE FOUNDATION,0,milford lacrosse foundation,milford lacross foundat
760827087,JAMES CAMPBELL HIGH SCHOOL ALUMNI & COMMUNITY FOUNDATION,0,james campbell high school alumni community foundation,jame campbel high school alumni commun foundat
455267563,CHARIS RELIEF MINISTRIES INC,0,charis relief ministries inc,chari relief ministri inc
201961557,DURANGO MONTESSORI INC,0,durango montessori inc,durango montessori inc
954536824,COMMUNITY HEALTH ALLIANCE OF PASADENA,0,community health alliance pasadena,commun health allianc pasadena
43307783,BREAKTHROUGH GREATER BOSTON INC,0,breakthrough greater boston inc,breakthrough greater boston inc
223700713,EAST BRUNSWICK CHARITABLE FOUNDATION INC,0,east brunswick charitable foundation inc,east brunswick charit foundat inc
201253664,LITTLE LEAGUE BASEBALL INC 4051110 FORESTHILL DIVIDE LL,0,little league baseball inc foresthill divide,littl leagu basebal inc foresthil divid
261996104,SOUTH DAKOTA WALLEYE CLASSIC INC,0,south dakota walleye classic inc,south dakota walley classic inc
311111819,LA PORTE COUNTY LEADERSHIP INC,0,la porte county leadership inc,la port counti leadership inc
582556130,YOUTHSPARK INC ROMAE POWELL JUVENILE JUSTICE CTR,0,youthspark inc romae powell juvenile justice ctr,youthspark inc roma powel juvenil justic ctr
942506354,SUNBURST PARENT TEACHER ORGANIZATION BOOSTER CLUB,0,sunburst parent teacher organization booster club,sunburst parent teacher organ booster club
113696940,ORGANIZATION FOR COMPUTATIONAL NEUROSCIENCES,0,organization computational neurosciences,organ comput neurosci
237337491,DIAMOND BAR WALNUT JUNIOR ALL AMERICAN FOOTBALL,0,diamond bar walnut junior american football,diamond bar walnut junior american footbal
463075366,WAIHEE VALLEY RESTORATION,0,waihee valley restoration,waihe valley restor
352239290,ILLINOIS HOCKEY OFFICIALS ASSOCIATION IHOA,0,illinois hockey officials association ihoa,illinoi hockey offici associ ihoa
870327438,UTAH PUBLIC HEALTH ASSOCIATION,0,utah public health association,utah public health associ
470422958,LITTLE LEAGUE BASEBALL INC 1270205 KEARNEY LL,0,little league baseball inc kearney,littl leagu basebal inc kearney
133263539,JULIE ECHOLS GOULD FUND FOR MEDICAL RESEARCH INC CO BURTON J LEE MD CTC GHS,0,julie echols gould fund medical research inc co burton j lee md ctc ghs,juli echol gould fund medic research inc co burton j lee md ctc gh
680446118,PALO CEDRO COMMUNITY ACTION TEAM,0,palo cedro community action team,palo cedro commun action team
261125732,GREENER VEGAS INC,0,greener vegas inc,greener vega inc
471887344,GREATER BRIGHT LIGHT LEARNING CENTER INC,0,greater bright light learning center inc,greater bright light learn center inc
640334268,BOY SCOUTS OF AMERICA 691 PUSHMATAHA AREA COUNCIL,0,boy scouts america pushmataha area council,boy scout america pushmataha area council
201584277,PITTSBURGH JEWISH PRE KINDERGARTEN EDUCATIONAL IMPROVEMENT FOUNDATION,0,pittsburgh jewish pre kindergarten educational improvement foundation,pittsburgh jewish pre kindergarten educ improv foundat
911818578,MEADOWBROOK FARM PRESERVATION ASSOCIATION,0,meadowbrook farm preservation association,meadowbrook farm preserv associ
42104827,ELIZABETH PEABODY HOUSE ASSOCIATION,0,elizabeth peabody house association,elizabeth peabodi hous associ
582632771,GEORGIA EXTENSION 4 H FOUNDATION SCREVEN COUNTY EXTENSION 4 H,0,georgia extension h foundation screven county extension h,georgia extens h foundat screven counti extens h
386034023,TRI CITY AREA UNITED WAY,0,tri city area united way,tri citi area unit way
453930018,VISION SSO INC,0,vision sso inc,vision sso inc
383597725,PASTWAYS INC,0,pastways inc,pastway inc
112740413,OR YOSEF FOUNDATION,0,yosef foundation,yosef foundat
134120783,PAKISTAN LITERACY FUND,0,pakistan literacy fund,pakistan literaci fund
61840045,PALO ALTO GIRLS SOFTBALL LEAGUE,0,palo alto girls softball league,palo alto girl softbal leagu
300400328,HALIFAX FIRE AND RESCUE DEPARTMENT,0,halifax fire rescue department,halifax fire rescu depart
611164067,ETERNAL LIFE INC,0,eternal life inc,etern life inc
251631733,HOLLIDAYSBURG COMMUNITY CHORUS,0,hollidaysburg community chorus,hollidaysburg commun choru
346778473,COMMUNITY CHRISTIAN CHURCH,0,community christian church,commun christian church
510164478,WOMEN A NEW INC,0,women new inc,women new inc
200639303,NEW HAMPSHIRE LIGHTNING SOFTBALL CLUB,0,new hampshire lightning softball club,new hampshir lightn softbal club
311647704,NEW YORK PRESERVATION ARCHIVE PROJECT INC,0,new york preservation archive project inc,new york preserv archiv project inc
463048674,EK DEVELOPMENT FOUNDATION,0,ek development foundation,ek develop foundat
391255461,SCENIC VALLEY EMERGENCY MEDICAL SERVICES INCORPORATED,0,scenic valley emergency medical services incorporated,scenic valley emerg medic servic incorpor
486125945,TOPEKA ELECTRICAL JOINT APPRENTICESHIP AND TRAINING TRUST APPRENTICESHIP AND JOURNEYMEN TRG FD,0,topeka electrical joint apprenticeship training trust apprenticeship journeymen trg fd,topeka electr joint apprenticeship train trust apprenticeship journeymen trg fd
750891469,YOUNG MENS CHRISTIAN ASSOCIATION OF TYLER TEXAS INC,0,young mens christian association tyler texas inc,young men christian associ tyler texa inc
221419651,WOMENS CLUB OF ENGLEWOOD,0,womens club englewood,women club englewood
43206596,FAMILY TO FAMILY PROJECT INC,0,family family project inc,famili famili project inc
954739699,PETERSEN AUTOMOTIVE MUSEUM FOUNDATION,0,petersen automotive museum foundation,petersen automot museum foundat
870802584,THE NATIONAL ASSOCIATION OF FINANCIAL EDUCATION FOR COMMUNITY,0,national association financial education community,nation associ financi educ commun
465620683,ROCK AT CALVARY CHAPEL OF KENSINGTON,0,rock calvary chapel kensington,rock calvari chapel kensington
134341859,HOLY FAMILY CRISTO REY CORPORATE INTERNSHIP PROGRAM,0,holy family cristo rey corporate internship program,holi famili cristo rey corpor internship program
271690298,AVONRIDGE COMMUNITY DEVELOPMENT CORPORATION,0,avonridge community development corporation,avonridg commun develop corpor
611490411,CREATIVE EXPRESSIONS NFP,0,creative expressions nfp,creativ express nfp
10888847,BETHEL TOWERS INC,0,bethel towers inc,bethel tower inc
263587880,FRIENDS OF THE JAMES RIVER PARK,0,friends james river park,friend jame river park
113354586,DAFYOMI ADVANCEMENT FORUM INC DAF,0,dafyomi advancement forum inc daf,dafyomi advanc forum inc daf
272282141,MARYLAND EMERGENCY MEDICINE RESEARCH FOUNDATION INC,0,maryland emergency medicine research foundation inc,maryland emerg medicin research foundat inc
330487567,POWAY VALLEY WATER POLO CLUB,0,poway valley water polo club,poway valley water polo club
451484094,DINA HACKERT MINISTRIES INC,0,dina hackert ministries inc,dina hackert ministri inc
800429869,YCECEA USA,0,ycecea usa,ycecea usa
472754772,MINNESOTA CHARITIES INC VIRGINIA CHARITY THRIFT AND DONATIO,0,minnesota charities inc virginia charity thrift donatio,minnesota chariti inc virginia chariti thrift donatio
346554767,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SOUTHWICK GRISCOM KINNEY DAR,0,national society daughters american revolution southwick griscom kinney dar,nation societi daughter american revolut southwick griscom kinney dar
582309682,WACCAMAW HIGH BAND BOOSTER ASSOCIATION INC,0,waccamaw high band booster association inc,waccamaw high band booster associ inc
320104601,ESSENTIAL INVENTIONS INC,0,essential inventions inc,essenti invent inc
10463535,SAFARI CLUB INTERNATIONAL FOUNDATION 20112649 MAINE CHAPTER,0,safari club international foundation maine chapter,safari club intern foundat main chapter
141556542,TWIN COUNTY RECOVERY SERVICES INC,0,twin county recovery services inc,twin counti recoveri servic inc
570917191,FRIENDS OF THE CAMDEN ARCHIVES AND MUSEUM,0,friends camden archives museum,friend camden archiv museum
593614273,RITA FOUNDATION JAX INC RITA FOUNDATION,0,rita foundation jax inc rita foundation,rita foundat jax inc rita foundat
